Designator,Footprint,Quantity,Value,LCSC Part #
C37,C_0402_1005Metric,1,100n,C147639
C40,C_0402_1005Metric,1,1u,
R62,R_0402_1005Metric,1,10K,
R33,R_0402_1005Metric,1,10K,
C4,C_0402_1005Metric,1,100n,C147639
R45,R_0402_1005Metric,1,R,C105637
C3,C_0402_1005Metric,1,100n,
TP1,TestPoint_Pad_D1.0mm,1,TP_MCU2_SCK,
R29,R_0402_1005Metric,1,22R,
U7,SOP-8_3.76x4.96mm_P1.27mm,1,APS6404L-3SQR,
C5,C_0402_1005Metric,1,100n,
R42,R_0402_1005Metric,1,R,C105637
C32,C_0402_1005Metric,1,100n,C147639
R17,R_0402_1005Metric,1,5k1,
C16,C_0402_1005Metric,1,100n,C147639
C28,C_0402_1005Metric,1,12p,
R21,R_0402_1005Metric,1,22R,
C39,C_0402_1005Metric,1,1u,
R37,R_0402_1005Metric,1,10k,
U8,SOP-8_3.76x4.96mm_P1.27mm,1,APS6404L-3SQR,
TP2,TestPoint_Pad_D1.0mm,1,TP_MCU2_CS,
R24,R_0402_1005Metric,1,22R,
C19,C_0402_1005Metric,1,100n,C147639
C8,C_0402_1005Metric,1,100n,C147639
R43,R_0402_1005Metric,1,R,C105637
U1,SOP-8_3.76x4.96mm_P1.27mm,1,APS6404L-3SQR,
C54,C_0402_1005Metric,1,100n,C147639
C10,C_0603_1608Metric,1,10u,
C12,C_0402_1005Metric,1,12p,
D1,WS2812B-2020,1,WS2812B-2020,
U16,QFN-56_EP_7x7_Pitch0.4mm,1,RP2040,
JP2,SolderJumper-2_Small_Closed,1,SolderJumper_2_Bridged,
C36,C_0402_1005Metric,1,100n,C147639
R30,R_0402_1005Metric,1,22R,
R54,R_0402_1005Metric,1,R,C105637
U15,QFN-56_EP_7x7_Pitch0.4mm,1,RP2040,
C47,C_0402_1005Metric,1,1u,
Y2,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,12MHz 10ppm,C521567
FB1,L_0603_1608Metric,1,Ferrite,
R48,R_0402_1005Metric,1,R,C105637
C38,C_0402_1005Metric,1,1u,
Y1,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,12MHz 10ppm,C521567
R20,R_0402_1005Metric,1,22R,
U6,SOP-8_3.76x4.96mm_P1.27mm,1,APS6404L-3SQR,
U5,SOP-8_3.76x4.96mm_P1.27mm,1,APS6404L-3SQR,
R50,R_0402_1005Metric,1,R,C105637
